,christmas,halloween,julyfour,memorialday,newyear,nineeleven,thanksgiving
0,12/25/2006,10/31/2006,07/04/2006,05/30/2006,01/01/2006,09/11/2006,11/23/2006
1,12/25/2007,10/31/2007,07/04/2007,05/28/2007,01/01/2007,09/11/2007,11/22/2007
2,12/25/2008,10/31/2008,07/04/2008,05/26/2008,01/01/2008,09/11/2008,11/27/2008
3,12/25/2009,10/31/2009,07/04/2009,05/25/2009,01/01/2009,09/11/2009,11/26/2009
4,12/25/2010,10/31/2010,07/04/2010,05/31/2010,01/01/2001,09/11/2010,11/25/2010
5,12/25/2011,10/31/2011,07/04/2011,05/30/2011,01/01/2011,09/11/2011,11/24/2011
6,12/25/2012,10/31/2012,07/04/2012,05/28/2012,01/01/2012,09/11/2012,11/22/2012
7,12/25/2013,10/31/2013,07/04/2013,05/27/2013,01/01/2013,09/11/2013,11/28/2013
8,12/25/2014,10/31/2014,07/04/2014,05/26/2014,01/01/2014,09/11/2014,11/27/2014
9,12/25/2015,10/31/2015,07/04/2015,05/25/2015,01/01/2015,09/11/2015,11/26/2015
10,12/25/2016,10/31/2016,07/04/2016,05/30/2016,01/01/2016,09/11/2016,11/24/2016
