,OFNS_DESC,HADEVELOPT,COUNT
2476,VEHICLE AND TRAFFIC LAWS, WOODSON,1
1459,KIDNAPPING & RELATED OFFENSES, WEEKSVILLE GARDENS,1
1462,LOITERING/GAMBLING CARDS DIC, ALBANY,1
1464,LOITERING/GAMBLING CARDS DIC, ARMSTRONG I,1
1465,LOITERING/GAMBLING CARDS DIC, ARMSTRONG II,1
1466,LOITERING/GAMBLING CARDS DIC, BOULEVARD,1
1468,LOITERING/GAMBLING CARDS DIC, BROWNSVILLE,1
1469,LOITERING/GAMBLING CARDS DIC, FARRAGUT,1
392,CRIMINAL MISCHIEF & RELATED OF, HABER,1
1470,LOITERING/GAMBLING CARDS DIC, LAFAYETTE,1
