1010 EAST 178TH STREET,1
1162-1176 WASHINGTON AVENUE,342
1471 WATSON AVENUE,245
ADAMS,2052
BAILEY AVENUE-WEST 193RD STREET,508
BAYCHESTER,28
BETANCES I,670
BETANCES III,56
BETANCES VI,19
BOSTON ROAD PLAZA,94
BOSTON SECOR,1307
BOYNTON AVENUE REHAB,275
BRONX RIVER,2071
BRONX RIVER ADDITION,106
BRONXCHESTER,1
BRONXDALE,3769
BRYANT AVENUE-EAST 174TH STREET,96
BUTLER,4224
CASTLE HILL,5952
CLAREMONT PARKWAY-FRANKLIN AVENUE,197
CLAREMONT REHAB GROUP 2,508
CLAREMONT REHAB GROUP 3,236
CLAREMONT REHAB GROUP 4,378
CLAREMONT REHAB GROUP 5,408
CLASON POINT GARDENS,1022
CLINTON,1
COLLEGE AVENUE-EAST 165TH STREET,127
DAVIDSON,752
EAGLE AVENUE-EAST 163RD STREET,267
EAST 165TH STREET-BRYANT AVENUE,111
EAST 173RD STREET-VYSE AVENUE,570
EAST 180TH STREET-MONTEREY AVENUE,291
EASTCHESTER GARDENS,1724
EDENWALD,776
FOREST,1152
FORT INDEPENDENCE STREET-HEATH AVENUE,899
FRANKLIN AVENUE I CONVENTIONAL,82
FRANKLIN AVENUE I MHOP,28
FRANKLIN AVENUE II CONVENTIONAL,76
FRANKLIN AVENUE II MHOP,3
FRANKLIN AVENUE III CONVENTIONAL,22
FRANKLIN AVENUE III MHOP,1
GLEBE AVENUE-WESTCHESTER AVENUE,102
GUN HILL,883
HARRISON AVENUE REHAB GROUP A,41
HARRISON AVENUE REHAB GROUP B,240
HIGHBRIDGE GARDENS,1525
HIGHBRIDGE REHABS ANDERSON AVENUE,246
HIGHBRIDGE REHABS NELSON AVENUE,220
HOE AVENUE-EAST 173RD STREET,156
JACKSON,1518
JENNINGS STREET,48
LONGFELLOW AVENUE REHAB,249
MACOMBS ROAD,97
MARBLE HILL,1706
MCKINLEY,455
MELROSE,990
MIDDLETOWN PLAZA,32
MILL BROOK,1111
MILL BROOK EXTENSION,473
MITCHEL,2858
MONROE,3066
MOORE,970
MORRIS HEIGHTS REHAB,159
MORRIS I,1806
MORRIS II,1592
MORRISANIA,449
MORRISANIA AIR RIGHTS 42,354
MOTT HAVEN,628
MURPHY,872
NA,1082834
PARKSIDE,1542
PATTERSON,1535
PELHAM PARKWAY,2177
RANDALL AVENUE-BALCOM AVENUE,118
SACK WERN,1026
SAINT MARYS PARK,2168
SEDGWICK,265
SOUNDVIEW,3636
SOUTH BRONX AREA SITE 402,313
SOUTHERN BOULEVARD,114
STEBBINS AVENUE-HEWITT PLACE,145
TELLER AVENUE-EAST 166TH STREET,298
THROGGS NECK,3439
THROGGS NECK ADDITION,739
TWIN PARKS EAST SITE 9,109
TWIN PARKS WEST SITE 1 & 2,412
UNION AVENUE-EAST 163RD STREET,140
UNION AVENUE-EAST 166TH STREET,278
UNIVERSITY AVENUE REHAB,521
WEBSTER,1334
WEST FARMS ROAD REHAB,257
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,89
WEST TREMONT REHAB GROUP 1,60
WEST TREMONT REHAB GROUP 2,71
WEST TREMONT REHAB GROUP 3,146
