,OFNS_DESC,PARKS_NM,COUNT
571,PETIT LARCENY, FLUSHING MEADOWS CORONA PARK,191
370,GRAND LARCENY, FLUSHING MEADOWS CORONA PARK,94
128,CRIMINAL MISCHIEF & RELATED OF, FLUSHING MEADOWS CORONA PARK,52
31,ASSAULT 3 & RELATED OFFENSES, FLUSHING MEADOWS CORONA PARK,45
399,GRAND LARCENY, ROCKAWAY BEACH AND BOARDWALK,32
621,PETIT LARCENY, ROCKAWAY BEACH AND BOARDWALK,26
536,OFFENSES INVOLVING FRAUD, FLUSHING MEADOWS CORONA PARK,25
129,CRIMINAL MISCHIEF & RELATED OF, FOREST PARK,23
426,HARRASSMENT 2, FLUSHING MEADOWS CORONA PARK,23
665,ROBBERY, FLUSHING MEADOWS CORONA PARK,21
