,PD_CD,PD_DESC,COUNT
0,101, ASSAULT 3,148919
240,638, HARASSMENT SUBD 3 4 5,126339
241,639, AGGRAVATED HARASSMENT 2,89621
239,637, HARASSMENT SUBD 1 CIVILIAN,74098
83,338, LARCENY PETIT FROM BUILDING UN,66999
47,254, MISCHIEF  CRIMINAL 4  OF MOTOR,61564
76,321, LARCENY PETIT FROM AUTO,60083
222,567, MARIJUANA  POSSESSION 4 & 5,59961
5,109, ASSAULT 2 1 UNCLASSIFIED,57140
81,333, LARCENY PETIT FROM STORE-SHOPL,53159
50,259, CRIMINAL MISCHIEF UNCLASSIFIED 4,49102
